exp_id,exercise,model_type,best_test_loss,best_epoch,created_at,finished_at,epochs,seq_len,batch_size,lr,hidden_dim,latent_dim,num_layers,dropout,early_stop_patience,json_file,output_dir,experiment_id,test_ratio,autoregressive,d_model,nhead,gpu_id
dfc0372a,leg_raises,rae,0.15462561221426105,11,2026-04-22T15:05:22.673072,2026-04-22T15:30:23.553201,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
bbac24a6,russian_twist,rae,0.1672527455297628,7,2026-04-22T16:04:35.493092,2026-04-22T16:26:20.642879,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
234ebd76,romanian_deadlift,rae,0.22104973171145748,1,2026-04-22T15:05:22.671335,2026-04-22T15:23:28.748639,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
1c8688b2,romanian_deadlift,rae,0.11299266814314134,49,2026-04-22T14:43:57.322891,2026-04-22T14:48:37.662937,50.0,15.0,,,64.0,32.0,,,,,,,,,,,
9cfc0e40,t_bar_row,rae,0.009333010779603211,49,2026-04-22T14:22:28.850339,2026-04-22T14:27:50.004413,50.0,15.0,,,64.0,32.0,,,,,,,,,,,
36533896,incline_bench_press,rae,0.09527581789967504,2,2026-04-22T14:40:49.502050,2026-04-22T14:44:15.155178,50.0,30.0,,,128.0,32.0,,,,,,,,,,,
a51fd9d8,bench_press,rae,0.13445281484134639,1,2026-04-22T16:04:35.515225,2026-04-22T16:39:53.442637,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
1f3b4c0c,lat_pulldown,rae,0.06969853141734432,98,2026-04-22T15:05:22.674586,2026-04-22T15:47:57.596811,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
02252a1f,lateral_raise,rae,0.0025073133427132334,27,2026-04-22T15:34:31.450955,2026-04-22T15:38:28.177946,50.0,15.0,32.0,0.001,64.0,64.0,1.0,0.2,10.0,,,,,,,,
fd1b62ac,chest_fly_machine,rae,0.04141734084277822,17,2026-04-22T16:04:35.481651,2026-04-22T16:16:17.149990,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
f6aa973d,chest_fly_machine,rae,0.037348605292793526,12,2026-04-22T14:52:05.200139,2026-04-22T14:54:25.649073,50.0,15.0,,,64.0,64.0,,,,,,,,,,,
945f7d0b,squat,rae,0.02577150038013408,6,2026-04-22T16:04:35.486701,2026-04-22T17:04:11.855724,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
e25d8a81,pull_Up,rae,0.035050757349498814,1,2026-04-22T15:05:22.672424,2026-04-22T15:28:15.105698,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
02af028b,t_bar_row,rae,0.042223661618290234,3,2026-04-22T14:22:38.575818,2026-04-22T14:26:47.148066,50.0,30.0,,,64.0,32.0,,,,,,,,,,,
51ebd472,plank,rae,0.2578767917144387,10,2026-04-22T16:04:35.452487,2026-04-22T16:15:40.997144,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
b23ba40c,lateral_raise,rae,0.0023388143913406463,33,2026-04-22T15:38:28.844191,2026-04-22T15:43:00.518059,50.0,15.0,32.0,0.001,64.0,64.0,1.0,0.2,10.0,,,,,,,,
0223b0f3,squat,rae,0.0260835628712321,7,2026-04-22T16:04:35.486224,2026-04-22T17:00:27.962939,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
3b0f0617,incline_bench_press,rae,0.05682083841579391,53,2026-04-22T15:05:22.670564,2026-04-22T15:27:25.895137,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
e844da6d,lateral_raise,rae,0.038358722479835065,10,2026-04-22T14:16:13.932245,2026-04-22T14:22:28.289177,50.0,30.0,,,128.0,64.0,,,,,,,,,,,
26d9b4f4,incline_bench_press,rae,0.0487522613858023,37,2026-04-22T14:40:35.513849,2026-04-22T14:45:14.972132,50.0,15.0,,,128.0,32.0,,,,,,,,,,,
0ddc26ee,romanian_deadlift,rae,0.09364428048768239,41,2026-04-22T14:45:15.550142,2026-04-22T14:49:35.366864,50.0,15.0,,,64.0,64.0,,,,,,,,,,,
1a7cf240,shoulder_press,rae,0.045172137600497556,24,2026-04-22T16:04:35.489458,2026-04-22T17:29:37.540565,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
31ce53e7,romanian_deadlift,rae,0.23576312271176178,8,2026-04-22T16:04:35.479809,2026-04-22T16:14:41.893786,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
233c427c,deadlift,rae,0.07097367339945854,9,2026-04-22T14:31:45.970847,2026-04-22T14:35:33.643312,50.0,30.0,,,128.0,32.0,,,,,,,,,,,
3c7ab25b,bench_press,rae,0.13668400890027468,24,2026-04-22T16:04:35.514292,2026-04-22T16:41:20.450387,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
5bbeb3c1,incline_bench_press,rae,0.09544054859731917,13,2026-04-22T15:05:22.670764,2026-04-22T15:23:28.938301,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
7ca61a41,t_bar_row,rae,0.05553825207324843,1,2026-04-22T15:05:22.667746,2026-04-22T15:12:40.298681,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
90f2448e,tricep_dips,rae,0.1368764267726378,1,2026-04-22T16:04:35.512465,2026-04-22T16:34:49.215871,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
677294f3,t_bar_row,rae,0.04308913580131033,1,2026-04-22T14:26:47.742704,2026-04-22T14:30:35.937069,50.0,30.0,,,128.0,32.0,,,,,,,,,,,
a1ca02c6,push-up,rae,0.28020227113144003,3,2026-04-22T16:04:35.512915,2026-04-22T16:55:44.200488,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
be4e477b,lat_pulldown,rae,0.11594411491550331,49,2026-04-22T16:04:35.488088,2026-04-22T16:33:38.186163,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
8256e616,incline_bench_press,rae,0.06612978422270921,37,2026-04-22T14:38:52.149702,2026-04-22T14:47:05.408026,50.0,30.0,,,64.0,32.0,,,,,,,,,,,
3a79a1e3,hammer_curl,rae,0.5510795336968953,2,2026-04-22T16:04:35.497396,2026-04-22T16:30:35.087142,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
88b0d0e9,lateral_raise,rae,0.03910014301875217,2,2026-04-22T16:04:35.448691,2026-04-22T16:11:08.499283,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
81b86c7e,romanian_deadlift,rae,0.18665889689562387,1,2026-04-22T14:47:05.969082,2026-04-22T14:50:21.687718,50.0,30.0,,,128.0,32.0,,,,,,,,,,,
5a425da3,deadlift,rae,0.03474683570291343,13,2026-04-22T15:05:22.669823,2026-04-22T15:18:23.233988,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
5db80c8d,lateral_raise,rae,0.039434307278401554,11,2026-04-22T15:12:42.150275,2026-04-22T15:19:53.646640,50.0,45.0,32.0,0.005,128.0,48.0,3.0,0.3,10.0,,,,,,,,
e86cef8d,lateral_raise,rae,0.038701182875340266,2,2026-04-22T14:11:26.129335,2026-04-22T14:16:13.288960,50.0,30.0,,,64.0,64.0,,,,,,,,,,,
db38c942,lateral_raise,rae,0.003156929874999656,45,2026-04-22T14:11:26.129178,2026-04-22T14:17:35.226560,50.0,15.0,,,64.0,32.0,,,,,,,,,,,
df3d7503,deadlift,rae,0.018382737285103472,50,2026-04-22T14:27:54.810408,2026-04-22T14:31:45.378260,50.0,15.0,,,64.0,32.0,,,,,,,,,,,
37bb1475,lateral_raise,rae,0.03906837998992867,3,2026-04-22T15:05:02.198129,2026-04-22T15:06:53.284435,50.0,15.0,32.0,0.01,128.0,64.0,3.0,0.1,10.0,,,,,,,,
5964ee02,plank,rae,0.228742769690052,11,2026-04-22T14:17:35.868393,2026-04-22T14:21:58.963864,50.0,15.0,,,128.0,32.0,,,,,,,,,,,
